Certification ID,Certification Name
CISA,Certified Information Systems Auditor
CDPSE,Certified Data Privacy Solutions Engineer
ISO-27001-LI,ISO 27001 Lead Implementer
PMP,Project Management Professional 
CEH,Certified Ethical Hacker
CTIA-S+,COMPTIA Security +
GNFA,GIAC Certified Network Forensics Analyst
GCFE,GIAC Certified Forensic Examiner
GRID,GIAC Response and Industrial Defense
GCIH,GIAC Certified Incident Handler
GCTI,GIAC Cyber Threat Intelligence
CEH,Certified Ethical Hacker
CISSP,Certified Information Systems Security Professional
ISO-27001-LI,ISO-27001:2013 Lead Implementer
CC,Certified  in Cybersecurity
OSCE3,Offensive Security Certified Expert 3 
OSED,Offensive Security Exploit Developer
OSWE,Offensive Security Web Expert
OSEP,Offensive Security Experienced Penetration Tester
OSCP,Offensive Security Certified Professional
CRTL,Certified Red Team Lead
CRTO,Certified Red Team Operator
eCMAP,eLearnSecurity Cloud Malware Analysis Professional
GCLD,GIAC Cloud Security Essentials
ITIL,Information Technology Infrastructure Library
CISSP,Certified Information Systems Security Professional 
CISM,Certified Information Security Manager
CRISC,Certified in Risk and Information Systems Control
CISSP,Certified Information Systems Security Professional
CEH,Certified Ethical Hacker
CCNP,CISCO Certified Network Professional 
CISM,Certified Information Security Manager
ISO-27001-LA,ISO-27001 Lead Auditor
JNCIA,Juniper Network Certified Internet Associate (JNCIA)
ISO-27001-LA,ISO-27001 Lead Implementer
No Certification,No Certification
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
GPEN,GIAC Penetration Tester
GMON,GIAC Continuous Monitoring Certification
SEC511,Continuous Monitoring and Security Operations
CTIA-S+,COMPTIA Security +
CND,Certified Network Defender (CND)
CySA+,CompTIA Security 
CNSS,Certified Network Security Specialist
CDPSE,Certified Data Privacy Solutions Engineer
CISA,Certified Information Systems Auditor
CISSP,Certified Information Systems Security Professional
ITIL V4,Information Technology Infrastructure Library
CIPM,Certified Information Privacy Manager
GLEG,GIAC Law of Data Security & Investigations
No Certification,No Certification
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CC,Cetified in Cybersecurity
CDPSE,Certified Data Privacy Solutions Engineer
CDPSE,Certified Data Privacy Solutions Engineer
CRISC,Certified in Risk and Information Systems Control
CCSP,Certified Cloud Security Professional 
No Certification,No Certification
CWES,Certified Web Exploitation Specialist
GCIH,GIAC Certified Incident Handler
eWPTX,eLearnSecurity Web Application Penetration Tester eXtreme
eCPPT,eLearnSecurity Certified Professional Penetration Tester
eJPT,eLearnSecurity Junior Penetration Tester
Security+,CompTIA Security+
CCNA,CISCO Certified Network Associate
CISM,Certified Information Security Manager
Ecdfp,Certified Digital Forensics Professional
eCTHPv2,Certified Threat Hunting Professional
eCIR,Certified Incident Responder
CHFIv10,Computer Hacking Forensic Investigator 
CNDv2,Certified Network Defender
GSTRT,"GIAC Strategic Planning, Policy, and Leadership "
CISSP,Certified Information Systems Security Professional
ISO-27001-LI,ISO-27001 Lead Implementer 
GMOB,GIAC Mobile Device Security Analyst
eCPPT,Certified Professional Penetration Tester
eJPTv2,Junior Penetration Tester Certification
eWPT,Web Application Penetration Testor
CCNA,Cisco Certified Network Associate
No Certification,No Certification
SEC-511 , Continuous Monitoring and Security Operations
eCTHPv2,eLearnSecurity Certified Threat Hunting Professional 
eCDFP,eLearnSecurity Certified Digital Forensics Professional 
eJPT,eLearnSecurity Junior Penetration Tester 
CRISC,Certification in Risk and Information Systems Control
CISM,Certified Information Security Manager
No Certification,No Certification
No Certification,No Certification
CISM,Certified Information Security Manager
No Certification,No Certification
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
GSLC,GIAC Security Leadership
PMP,Project Management Professional
CCNA,CISCO Certified Network Associate
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
CCISO,Certified Chief Information Security Officer
PCNSE,Palo Alto Networks Certified Network Security Engineer
eWPT,Web Application Penetration Tester
eNDP,Network Defense Professional
eJPT,Junior Penetration Tester
GCFE,GIAC Certified Forensic Examiner 
DFIR,Digital Forensics & Incident Response
eCTHP ,Certified Threat Hunting Professional
eJPT,Junior Penetration Tester
RHSA ,Red Hat Certified System Administrator
CCNA,Cisco Certified Network Associate
CISM,Certified Information Security Manager
CRISC,Certified In Risk and Information Systems Control
ITIL4,ITIL4 Foundation Information Security Management
CISA,Certified Information Systems Auditor
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CCNA,Cisco Certified Network Associate Routing and Switching
ISO-27005,Risk Manager
ISO-27032,Cybersecurity Manager
CDPSE,Certified Data Privacy Solutions Engineer
ISO-27001-LA,Lead Auditor
CISM,Certified Information Security Manager 
CTIAS+,CompTIA Security+
CCNA,CISCO Certified Network Associate
CC,Certified in Cybersecurity
CC,Certified in Cybersecurity
CEH,Certified Ethical Hacker
GSTRT,"GIAC Strategic Planning, Policy, and Leadership "
ISO-27001-LI,ISO-27001 Lead Implementer
CSA,Certified Security Analyst
CRISC,Certified in Risk and Information Systems Control
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
RMP,Risk Management Professional
CCNA,CISCO Certified Network Associate
No Certification,No Certification
No Certification,No Certification
eJPT,Junior Penetration Tester
GCIH,GIAC Certified Incident Handler
GMON,GIAC Continuous Monitoring Certification 
ICS-CST,ICS Cyber Security Threats 
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
CCNA,Cisco Certified Network Associate
eCTHPv2,eLearnSecurity Certified Threat Hunting Professional
CTIA-CySA,CompTIA CySA+
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
eCIR,Certified Incident Responder
ISO-27005,ISO/IEC 27005 Lead Risk Manager
ISO-31000-LRM,ISO 31000 Lead Risk Manager
NSE-1,Network Security Expert
No Certification,No Certification
CCNA,Cisco Certified Network Associate
CEH,Certified Ethical Hacker
GWAPT ,GIAC Web Application Penetration Tester
CTIA-S+,COMPTIA Security +
CISA,Certified Information Systems Auditor
CDPSE,Certified Information Systems Auditor
CISM,Certified Information Systems Auditor
No Certification,No Certification
ISO-IEC-27005,ISO-27005 Senior Risk Manager
ISO-22301,ISO-22301 Business Continuity Management Systems
ISO-27001-LI,ISO-27001 Lead Implementer 
CISA,Certified Information Systems Auditor
CEH,Certified Ethical Hacker
CySA+,CompTIA CySA+ ce Certification
CSAP,CompTIA Security Analytics Professional – CSAP Stackable Certification
CCNA,CISCO Certified Network Associate
ISO-27001,ISO-27001 Lead Implementer 
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
CCNA,Cisco Certified Network Associate
CRISC,Certification in Risk and Information Systems Control 
GMON,GIAC Continuous Monitoring Certification
eCDFP,Certified Digital Forensics Professional
eCIR,Certified Incident Responder
NSE-1,Network Security Expert
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CISSP,Certified Information Systems Security Professional
GCIH,GIAC Certified Incident Handler
GCCC,GIAC Critical Controls Certification
ISO-27001-LA,ISO-27001 Lead Auditor  
ISO-27001-LI,ISO-27001 Lead Implementer
CEH,Certified Ethical Hacker
CCNA,CISCO Certified Network Associate
ITIL,Information Technology Infrastructure Library
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
GDPRP,General Data Protection Regulation Practitioner
CISM,Certified Information Security Manager
CCNA,CISCO Certified Network Associate
PMP,Project Management Professional
CCNA,CISCO Certified Network Associate
GCFA,GIAC Certified Forensics Analyst
GCFE,GIAC Certified Forensic Examiner
eCDFP,Certified Digital Forensics Professional 
CySA,CompTIA Cybersecurity Analyst
GCIH,GIAC Certified Incident Handler 
eCPPT,Certified Professional Penetration Tester
eCDFP,Certified Digital Forensics Professional
eCIR,Certified Incident Responder
eCTHP,Certified Threat Hunting Professional
CCNA,CISCO Certified Network Associate
ISO-22301-LI,ISO-22301 Lead Implementer 
LRM,ISO-27005 Lead Risk Manager
CISM,Certified Information Security Manager
NSE-7,Fortinet Network Security Expert Level 7
ISO-27001-LI,ISO-27001 Lead Implementer
GCCC,GIAC Critical Controls Certification
ITIL,Information Technology Infrastructure Library
ISO-27001-LA,ISO-27001 Lead Auditor 
eCPPT,Certified Professional Penetration Tester
eJPT,Junior Penetration Tester
eWPT,Web Application Penetration Tester
CEH,Certified Ethical Hacker
eCDFP,Certified Digital Forensics Professional
eCIR,Certified Incident Responder
eCPPT,Certified Professional Penetration Tester
eJPT,Junior Penetration Tester
eCTHP,Certified Threat Hunting Professional
GCFE,GIAC Certified Forensic Examiner 
GCFA,GIAC Certified Forensics Analyst
GCIH,GIAC Certified Incident Handler
GCIH,GIAC Certified Incident Handler
CRISC,Certified in Risk and Information Systems Control
CCNA,CISCO Certified Network Associate
ITIL,Information Technology Infrastructure Library
CISM,Certified Information Security Manager 
ISO-22301-LA,ISO-22301 Lead Auditor
CEH,Certified Ethical Hacker
NSE 1,Network Security Associate
NSE 2,Network Security Associate
CCNA,Cisco Certified Network Associate 
CCNP,Cisco Certified Network Professional 
PCNSA,Palo Alto Networks Certificate Network Security Administrator 
PCNSE,Palo Alto Networks Certificate Network Security Administrator 
CISSP,Certified Information Systems Security Professional
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
AZURE,Microsoft Certified: Azure Administrator Associate
PMP,Project Management Professional
CTIA-S+,CompTIA Security+
No Certification,No Certification
No Certification,No Certification
No Certification,No Certification
OSCP,Offensive Security Certified Professional 
eJPTv2,Junior Penetration Tester
PEN-100,Network Penetration Testing Essentials
No Certification,No Certification
No Certification,No Certification
CISSP,Certified Information Systems Security Professional
GCIH,GIAC Certified Incident Handler
GRID,GIAC Response and Industrial Defense
GCNFA,GIAC Certified Network Forensics Analyst
GCFE,GIAC Certified Forensic Examiner
GCTI,GIAC Cyber Threat Intelligence 
CEH,Certified Ethical Hacker
GCFE,GIAC Certified Forensic Examiner
GMON,Continuous Monitoring Certification
eCPPTv2,eLearnSecurity Certified Professional Penetration Tester
CEH,Certified Ethical Hacker 
ITILv4,Information Security Management
CEH,Certified Ethical Hacker
No Certification,No Certification
JPT,Junior Penetration Tester
CTIAS+,CompTIA Security +
CC,Cybersecurity Essentials
CRISC,Certified in Risk and Information Systems Control
ITIL,Information Technology Infrastructure Library
CCNP,CISCO Certified Networking Professional -Enterprise
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
eCDFP,Certified Digital Forensics Professional
eCTHP,Certified Threat Hunting Professional
GAB,GIAC Advisory Board
GCFA,GIAC Certified Forensics Analyst 
GCIH,GIAC Certified Incident Handler (GCIH)
No Certification,No Certification
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
CCNA,Cisco Certified Network Associate
GCIH,GIAC Certified Incident Handler
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
OSDA,OffSec Defense Analyst
eCIR,eLearnSecurity Certified Incident Responder
eCDFP,eLearnSecurity Certified Digital Forensics Professional
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
No Certification,No Certification
CCNA,CISCO Certified Network Associate
GCIH,Certified Incident Handler Certification 
GCDA,Certified Detection Analyst
GCFA,Certified Forensic Analyst 
GXFA,Forensics Analyst
CCNA,CISCO Certified Network Associate
eJPT,eLearnSecurity Junior Penetration Tester
eCPPT,Certified Professional Penetration Tester
Ecthp,Certified Threat Hunting Professional
Ecdfp,Certified Digital Forensics Professional
LRSA,LogRhythm Security Analyst
LRPA,LogRhythm Platform Administrator
CRTP,Certified Red Team Professional 
CCNA,CISCO Certified Network Associate
CISM,Certified Information Security Manager
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
eWPTX,Web Application Penetration tester eXtreme
GPEN,GIAC Penetration Tester (GPEN)
OSCP,OffSec Certified Professional
CISM,Certified Information Security Manager
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
eCTHPv2,eLearnSecurity Certified Threat Hunting Professional
eCDFP,eLearnSecurity Certified Digital Forensics Professional
CySA+,CompTIA CySA+ ce Certification
GCFA,GIAC Certified Forensic Analyst
eCTHP,eLearnSecurity Certified Threat Hunting Professional
eCDFP,Certified Digital Forensics Professional
eWPTXv2,Web Application Penetration Tester eXtreme 
eJPT,Junior Penetration Tester
CCNA,CISCO Certified Network Associate
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CySA+,CompTIA Cybersecurity Analyst 
ISO 27001 ,Lead Implementer
CySA,CompTIA Cybersecurity Analyst
CISA,Certified Information Systems Auditor
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
GCFA,GIAC Certified Forensics Analyst
CCSP,Certified Cloud Security Professional
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CISSP,Certified Information Systems Security Professional
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
ITIL,IT Information Library Foundations Certification (ITIL)
PMP,Project Management Professional (PMP)
CARTP,Certified Azure Red Team Professional 
CRTE,Certified Red Team Expert 
CRTM,Certified Red Team Master 
eWAPTx,eLearnSecurity Certified Web Penetration Tester eXtreme version 2
No Certification,No Certification
eCDFP,Certified Digital Forenscis Professional 
eCIR,Certified Incident Responder 
eCTHPv2,Certified Threat Hunting Professional
No Certification,No Certification
No Certification,No Certification
eCIR,Certified incident responder 
CHFI,Computer Hacking Forensic Investigator
CEH,Certified Ethical Hacker 
eCTHP,eLearnSecurity Certified Threat Hunting Professional
GCIH,GIAC Certified Incident Handler 
eCTHP,Certified Threat Hunting Professional
eCIR,Certified Incident Responder eCIR
CEH,Certified Ethical Hacker
CISA,Certified Information Systems Auditor
CCNA,Cisco Certified Network Associate
GPEN,GIAC Penetration Tester (GPEN)
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
GWAPT,GIAC Web Application Penetration Testing (GWAPT)
MSCS,Master of Science in Computer Science 
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
CHFI,Computer Hacking Forensic Investigator
CEH,Certified Ethical Hacker
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
THDF-508,"Advanced Incident Response, Threat Hunting, and Digital Forensics"
NSE 1,Network Security Associate
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
PMP,Project Management Professional
CCNA,CISCO Certified Network Associate Routing and Switching
CCNP,CISCO Certified Networking Professional
CCNA,CISCO Certified Network Associate
CISA,Certified Information Systems Auditor
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISM,Certified Information Security Manager
ISO-27001-LA,ISO-27001 Lead Auditor
ISO-27001-LI,ISO-27001 Lead Implementer 
GSLC,GIAC Security Leadership Certification
CRISC,Certified In Risk and Information Systems Control 
CISM,Certified Information Security Manager
ISO-27001-LA,ISO-27001 Lead Auditor
ISO-27001-LI,ISO-27001 Lead Implementer
No Certification,No Certification
CCNA,CISCO Certified Network Associate
CRISC,Certified In Risk and Information Systems Control
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
No Certification,No Certification
CEH,Certified Ethical Hacker
CISSP,Certified Information Systems Security Professional
CCNA,CISCO Certified Network Associate
PMP,Project Management Professional
eCDFP,Certified Digital Forensics Professional 
eCTHPv2 ,Certified Threat Hunting Professional
eCIR,Certified Incident Responder
CEH,Certified Ethical Hacker
CHFIv10,Computer Hacking Forensic Investigator
CNDv2,Certified Network Defender 
eJPTv2,Junior Penetration Tester 
CISA,Certified Information Systems Auditor
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
GCCC,GIAC Critical Controls Certification
CISA,Certified Information Systems Auditor
CRISC,Certification in Risk and Information Systems Control 
CEH,Certified Ethical Hacker
PMP,Project Management Professional
CCNP, CISCO Certified Network Professional
CISM,Certified Information Security Manager
CISM,Certified Information Security Manager
CCNA,Cisco Certified Network Associate
GCFA,GIAC Certified Forensic Analyst 
GCLD,GIAC Cloud Security Essentials 
GCIH,GIAC Certified Incident Handler
CEH,Certified Ethical Hacker
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
JNCIA,Juniper Network Certified Internet Associate
PMP,Project Management Professional
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
PMP,Project Management Professional
CDPSE,Certified Data Privacy Solutions Engineer
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CGEIT,Certified in the Governance of Enterprise IT
ITIL,Information Technology Infrastructure Library
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
CCNA,Cisco Certified Network Associate
ISO-27001-LI,ISO-27001 Lead Implementer
No Certification,No Certification
CISA,Certified Information Systems Auditor
CISSP,Certified Information Systems Security Professional
CCNA,Cisco Certified Network Associate
GWAPT,GIAC Web Application Penetration Testing
CCNP-S,CISCO Certified Network Professional Security 
CCNA ,CISCO Certified Network Associate Security
CCNA,CISCO Certified Network Associate- Routing and Switching 
No Certification,No Certification
eWPT,Web Application Penetration Tester
eWPTX,Web Application Penetration Tester eXtreme
CISA,Certified Information Systems Auditor
CRISC,Certification in Risk and Information Systems Control
No Certification,No Certification
GCCC,GIAC Critical Controls Certification
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
GWAPT,GIAC Web Application Penetration Testing (GWAPT)
OSCP,OffSec Certified Professional
PMP,Project Management Professional
CISSP,Certified Information Systems Security Professional
GSLC,GIAC Security Leadership 
CDPSE,Certified Data Privacy Solutions Engineer
FOR-572,"Advanced Network Forensics, Threat Hunting, Analysis,and Incident Response"
GCFA,GIAC Certified Forensics Analyst
FOR-508 ,"Advanced Incident Response, Threat Hunting, and Digital Forensics"
CEH,Certified Ethical Hacker
CDPSE,Certified Data Privacy Solutions Engineer
GMON,GIAC Continuous Monitoring Certification
ISO-27001-LA,ISO-27001 Lead Auditor
ISO-27001-LI,ISO 27001 Lead Implementer
SEC-511,Cybersecurity Engineering: Advanced Threat Detection and Monitoring
CISM,Certified Information Security Manager
CCNA,CISCO Certified Network Associate
ITIL,Information Technology Infrastructure Library
CCNA,Cisco Certified Network Associate
CISM,Certified Information Security Manager
CISM,Certified Information Security Manager
ISO-27001-LI,ISO-27001 Lead Implementer 
PMP,Project Management Professional
CCNA,CISCO Certified Network Associate
ITIL,Foundation Certificate in IT Service Management
CISSP,Certified Information Systems Security Professional
GCED,GIAC Certified Enterprise Defender (GCED)
GCFE,GIAC Certified Forensic Examiner
ISO-31000,ISO-31000 Risk Manager
CTIA-S+,CompTIA Security+
ISMS-LI,ISO 27001 Senior Lead Implementer 
ISO-31000-LRM,ISO 31000 Lead Risk Manager
CISM,Certified Information Security Manager
NSE-2,Network Security Associate
CCNA,CISCO Certified Network Associate
eJPT,eJPT-Junior Penetration Tester
eCIR,Certified Incident Responder
No Certification,No Certification
CDPSE,Certified Data Privacy Solutions Engineer
CISSP,Certified Information Systems Security Professional
CISM,Certified Information Security Manager
ISO-27001 -LI,ISO-27001 Lead Implementer
CCNA,Cisco Certified Network Associate
eCDFP,Certified Digital Forensics Professional 
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
ITIL,Information Technology Infrastructure Library
CGEIT,Certified in the Governance of Enterprise IT 
CCNA,CISCO Certified Network Associate
CCNP,CISCO Certified Networking Professional
CRISC,Certified in Risk and Information Systems Control
ISO-27001-LI,ISO-27001 Lead Implementer
GCCC,GIAC Critical Controls Certification
PMP,Project Management Professional 
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
SEC-510,Public Cloud Security
ISO-27001-LA,ISO-27001 Lead Auditor 
CEH,Certified Ethical Hacker
CCNA,CISCO Certified Network Associate
eWPT,Web Application Penetration Tester
NSE-2,Network Security Associate 
GXPN,GIAC Exploit Researcher and Advanced Penetration Tester
GPEN,GIAC Penetration Tester 
GWAPT,GIAC Web Application Penetration Testing 
OSCP,OffSec Certified Professional
No Certification,No Certification
eWAPTx,eLearnSecurity Web Application Penetration Tester eXtreme
No Certification,No Certification
No Certification,No Certification
CRISC,Certified in Risk and Information Systems Control
CISA,Certified Information Systems Auditor
GCFA,GIAC Certified Forensics Analyst
GCFE,GIAC Certified Forensic Examiner 
GMON,GIAC Continuous Monitoring Certification
GCIA,GIAC Certified Intrusion Analyst
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
CHFI,Computer Hacking Forensic Investigator
PMP,Project Management Professional
CISM,Certified Information Security Manager
RMP,Risk Management Professional 
CISSP,Certified Information Systems Security Professional
GMON,GIAC Continuous Monitoring Certification
JNJS,Juniper Networks Certified Associate
ISO 27001,ISO 27001 Lead Auditor
CISM,Certified Information Security Manager
CNSS,Certified Network Security Specialist
GNFA,GIAC Network Forensic Analyst
SANS-FOR-572 ,"Advanced Network Forensics: Threat Hunting, Analysis, and Incident Response"
eWPTXv2,Web application Penetration Tester eXtreme
eCPPTv2,Certified Professional Penetration Tester
eWPTv2,Web Application Penetration Tester 
eJPTv2,Junior Penetration Tester
BCMS,Business Continuity Management Solution
CEH,Certified Ethical Hacker
CRISC,Certified in Risk and Information Systems Control
CCNA,Cisco Certified Network Associate
ISO-27001-LA,ISO-27001 Lead Auditor
ITIL,Information Technology Infrastructure Library
ISO-22301-LA,ISO-22301 Lead Auditor
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CCNA,CISCO Certified Network Associate
GWAPT,GIAC Web Application Penetration Tester 
GSLC,GIAC Security Leadership Certification
GWEB,GIAC Certified Web Application Defender
CAPM,Certified Associate in Project Management
CISSP,Certified Information Systems Security Professional
GPEN,GIAC Penetration Tester 
GCFA,GIAC Defending Advanced Threats
GCIA,GIAC Certified Intrusion Analyst 
GMON,GIAC Continuous Monitoring Certification
CISSP,Certified Information Systems Security Professional
CRISC,Certified in Risk and Information Systems Control
TUV,TÜV Certified Professional
CISM,Certified Information Security Manager
GCCC,GIAC Critical Controls Certification
GSTRT,"GIAC Strategic Planning, Policy, and Leadership"
ISO-27001-LI,ISO-27001 Lead Implementer
ISO-27001,ISO 27001 Lead Implementer
ISO-27005,ISO 27005 Risk Manager
CNSS,Certified Network Security Specialist
NSE-1,Network Security Associate
NSE-2,Network Security Associate
CNSP,CompTIA Network Security Professional – CNSP Stackable Certification
CTIA-S+,CompTIA Security+
GICSP,GIAC Global Industrial Cyber Security Professional 
CISM,Certified Information Security Manager
GCIH,GIAC Certified Incident Handler
CCNA ,CISCO Certified Network Associate
PMP,Project Management Professional
CRISC,Certified in Risk and Information Systems Control
No Certification,No Certification
No Certification,No Certification
CCNA,Cisco Certified Network Associate
CISSP,Certified Information Systems Security Professional
GPEN,GIAC Penetration Tester (GPEN)
CRISC,Certified in Risk and Information Systems Control 
CISA,Certified in Risk and Information Systems Control 
PMP,Certified in Risk and Information Systems Control 
CISM,Certified in Risk and Information Systems Control 
GDPR,Certified in Risk and Information Systems Control 
LRSA,LogRhythm Security Analyst
ECIH,Certified Incident Handler
RH124,Red Hat Certified System Administrator (RH124)
No Certification,No Certification
SANS FOR578,SANS-FOR578-Cyber Threat intelligence certificate of completion 
CISSP,Certified Information Systems Security Professional
GWAPT,GIAC Web Application Penetration Testing
GMOB,GIAC Mobile Device Security Analyst
GWAPT,GIAC Web Application Penetration Testing (GWAPT)
CCNA ,CISCO Certified Network Associate
ISO-27001-LI,ISO-27001 Lead Implementer 
CEH,Certified Ethical Hacker
CCNA,CISCO Certified Network Associate
CYSA+,CompTIA CySA+ ce Certification
CSAP,CompTIA CySA+ ce Certification
GMON,CompTIA CySA+ ce Certification
GCIA,CompTIA CySA+ ce Certification
CEH,Certified Ethical Hacker
GCFA,GIAC Certified Forensics Analyst 
GCIH,GIAC Certified Incident Handler
GSEC,GIAC Security Essentials
GSTRT,"GIAC Strategic Planning, Policy, and Leadership "
CCNA,CISCO Certified Network Associate
eCDFP,eLearnSecurity Certified Digital Forensics Professional 
eCTHPv2,eLearnSecurity Threat Hunting Professional 
No Certification,No Certification
CCNA,CISCO Certified Network Associate
CCNP-S,CISCO Certified Network Professional Security
NSE-1,Network Security Associate
CIH,Certified Incident Handler
CTIA-S+,COMPTIA Security+
CCNA,CISCO Certified Network Associate
eJPT,eLearnSecurity Junior Penetration Tester
CEH,Certified Ethical Hacker
GRC,"Governance, Risk and Compliance Specialist"
CISA,Certified Information Systems Auditor
ISO-27005,Information Security Risk Management
ISO-27001,Information Security Management Systems
CGEIT,Certified in the Governance of Enterprise IT
CCNA,Cisco Certified Network Associate
ITIL,Information Technology Infrastructure Library
CISM,Certified Information Security Manager
CRISC,Certified in Risk and Information Systems Control
ISO-27001-LI,ISO-IEC 27001 Lead Implementer
ISO-22301-LI,ISO-IEC 22301 Business Continuity Management Lead Implementer
GSEC,GIAC Security Essentials Certification
ITIL v4,ITIL 4 Foundation
Security+,CompTIA Security+
eCTHPv2,Certified Threat Hunting Professional
CRISC,Certified in Risk and Information Systems Control
CCNA,Cisco Certified Network Associate
CCNP,Cisco Certified Network Professional 
CNSS,Certified Network Security Specialist 
CCNA,CISCO Certified Network Associate
GCCC,GIAC Critical Controls Certification
CNSS,Certified Network Security Specialist
CCNA,CISCO Certified Network Associate Security 
CCNA,Cisco Certified Network Associate
GCIH,GIAC Certified Incident Handler 
eCTHP,Certified Threat Hunting Professional
eCIR,Certified Incident Responder
CTIA-S+,COMPTIA Security +
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
GCIA,GIAC Certified Intrusion Analyst
GMON,GIAC Continuous Monitoring Certification
CRTP,Certified Red Team Professional
eWPT,eLearnSecurity Web Application Penetration Tester
eCPPTv2,eLearnSecurity Certified Professional Penetration Tester 
